"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"1",1,"1 Amlajack Blvd",39.0821215314366,70930.7767573296,2847,1199177,764177,278767,36289,88694,31250,"13","077","00326666","0500000US13077","13077","Coweta","Coweta County","GA","Georgia","06",1142364907,12680737,"GA","state",c(-84.753559, 33.397632)
"2",2,"1 Diamond Cswy",43.9357142857143,77485.9634146341,168,79092,46418,19022,2749,8257,2646,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.099525, 31.957169)
"3",3,"1 E Derenne Ave",36.0957055214724,57122.6397515528,326,174553,88443,57984,5658,16120,6348,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.110382, 32.029027)
"4",4,"1 Gateway Blvd E",39.9102971311475,66054.3980228928,1952,977976,620785,202161,26949,97274,30807,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.281152, 32.005077)
"5",5,"1 Main St",41.2781758957655,46202.9798657718,307,112384,65423,35750,2183,6290,2738,"13","239","00350547","0500000US13239","13239","Quitman","Quitman County","GA","Georgia","06",391703076,24158295,"GA","state",c(-85.108149, 31.887254)
"6",6,"10 Franklin Rd",39.7542600896861,63279.5052950076,669,156840,93863,44736,3035,11525,3681,"13","077","00326666","0500000US13077","13077","Coweta","Coweta County","GA","Georgia","06",1142364907,12680737,"GA","state",c(-84.82099, 33.385416)
"7",7,"10 Linda Ln",37.756,61582.1942857143,175,90623,62782,16788,887,7292,2874,"13","045","00326650","0500000US13045","13045","Carroll","Carroll County","GA","Georgia","06",1292752874,12024409,"GA","state",c(-85.078422, 33.617636)
"8",8,"10 Lowery Rd",39.6606936416185,66001.1656804734,173,62602,46892,8734,649,4930,1397,"13","015","00351604","0500000US13015","13015","Bartow","Bartow County","GA","Georgia","06",1188568883,27370205,"GA","state",c(-84.977629, 34.144163)
"9",9,"10 Meeting St",47.4205128205128,84359.2953367876,390,161788,103890,36566,4442,10573,6317,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.053136, 31.938878)
"10",10,"10 N Godley Station Blvd",37.1610275689223,67513.5932311622,1596,492628,313410,104586,11796,46779,16057,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.255147, 32.135979)
"11",11,"10 Patrick Mill Rd SW",37.0474747474747,65255.7857142857,396,183242,123628,29699,7763,17274,4878,"13","013","00356976","0500000US13013","13013","Barrow","Barrow County","GA","Georgia","06",417082919,4909580,"GA","state",c(-83.774131, 33.991462)
"12",12,"10 The Crescent",39.2291005291005,82877.417989418,189,82728,50077,22230,2178,5847,2396,"13","077","00326666","0500000US13077","13077","Coweta","Coweta County","GA","Georgia","06",1142364907,12680737,"GA","state",c(-84.794695, 33.400907)
"13",13,"100 Alex Dr",39.3745762711864,67975.4745762712,59,34277,24531,5367,1030,2395,954,"13","039","01671316","0500000US13039","13039","Camden","Camden County","GA","Georgia","06",1632622505,392508756,"GA","state",c(-81.588044, 30.753442)
